iter	Passed	Remaining
0	143	143143
1	144	72278
2	146	48663
3	148	36853
4	149	29752
5	151	25027
6	152	21631
7	153	19075
8	155	17167
9	157	15589
10	158	14293
11	160	13209
12	161	12286
13	163	11494
14	164	10802
15	165	10196
16	167	9657
17	168	9172
18	169	8737
19	170	8348
20	171	7987
21	172	7656
22	172	7346
23	173	7064
24	174	6804
25	175	6562
26	175	6337
27	176	6128
28	177	5929
29	177	5744
30	178	5569
31	178	5406
32	179	5253
33	179	5108
34	180	4971
35	180	4841
36	181	4719
37	181	4603
38	183	4512
39	183	4407
40	184	4307
41	184	4212
42	185	4122
43	185	4035
44	186	3951
45	186	3872
46	187	3796
47	187	3723
48	188	3653
49	188	3586
50	189	3522
51	189	3459
52	190	3400
53	190	3342
54	191	3287
55	191	3233
56	192	3182
57	192	3132
58	193	3084
59	193	3037
60	194	2991
61	194	2948
62	195	2906
63	195	2865
64	196	2827
65	197	2789
66	197	2751
67	197	2711
68	198	2676
69	198	2642
70	199	2608
71	199	2577
72	200	2546
73	201	2515
74	201	2485
75	202	2456
76	202	2428
77	203	2400
78	203	2373
79	204	2347
80	204	2321
81	205	2296
82	205	2272
83	206	2248
84	206	2222
85	207	2200
86	207	2176
87	207	2154
88	208	2133
89	208	2112
90	209	2091
91	209	2071
92	210	2053
93	211	2034
94	211	2015
95	212	1996
96	212	1978
97	213	1961
98	213	1943
99	214	1927
100	214	1910
101	214	1892
102	215	1876
103	215	1860
104	216	1844
105	216	1829
106	217	1814
107	217	1799
108	218	1785
109	218	1771
110	219	1757
111	219	1743
112	220	1729
113	220	1716
114	221	1703
115	221	1690
116	222	1677
117	222	1665
118	223	1652
119	223	1640
120	224	1631
121	225	1620
122	225	1607
123	225	1595
124	226	1584
125	226	1574
126	227	1563
127	227	1551
128	228	1541
129	228	1531
130	229	1522
131	229	1512
132	230	1502
133	231	1492
134	231	1483
135	232	1473
136	232	1464
137	232	1454
138	233	1445
139	233	1437
140	234	1428
141	234	1419
142	235	1410
143	235	1402
144	236	1394
145	236	1385
146	237	1379
147	238	1371
148	238	1363
149	239	1355
150	239	1348
151	240	1340
152	240	1333
153	241	1325
154	241	1318
155	242	1310
156	242	1303
157	243	1296
158	243	1289
159	244	1282
160	244	1275
161	245	1269
162	245	1262
163	246	1255
164	246	1249
165	247	1242
166	247	1236
167	248	1230
168	248	1223
169	249	1217
170	249	1211
171	250	1205
172	251	1200
173	251	1194
174	252	1188
175	252	1183
176	253	1177
177	253	1171
178	254	1166
179	254	1160
180	254	1153
181	255	1148
182	255	1142
183	256	1137
184	256	1131
185	257	1126
186	257	1121
187	258	1116
188	258	1111
189	259	1106
190	259	1101
191	260	1096
192	261	1091
193	261	1086
194	262	1081
195	262	1076
196	263	1072
197	263	1067
198	264	1062
199	264	1058
200	265	1053
201	265	1049
202	266	1044
203	266	1040
204	267	1035
205	267	1031
206	268	1027
207	268	1022
208	269	1018
209	269	1014
210	270	1010
211	270	1006
212	271	1001
213	271	997
214	272	993
215	272	989
216	273	985
217	273	982
218	274	978
219	274	974
220	275	970
221	275	966
222	276	962
223	276	959
224	277	955
225	277	951
226	278	948
227	279	945
228	279	941
229	280	937
230	280	934
231	281	930
232	281	927
233	282	923
234	282	920
235	283	916
236	283	913
237	284	910
238	284	906
239	285	903
240	285	899
241	286	896
242	286	893
243	287	889
244	287	887
245	288	884
246	288	880
247	289	877
248	289	874
249	290	871
250	290	868
251	291	865
252	292	863
253	292	860
254	293	857
255	293	854
256	294	851
257	294	848
258	295	845
259	295	842
260	296	839
261	296	836
262	297	833
263	298	830
264	298	827
265	299	825
266	299	822
267	300	819
268	300	816
269	301	813
270	301	811
271	302	808
272	302	805
273	303	802
274	303	800
275	304	797
276	304	795
277	305	793
278	305	790
279	306	788
280	307	785
281	307	783
282	308	780
283	308	778
284	309	775
285	309	773
286	310	770
287	310	768
288	311	765
289	311	763
290	312	761
291	312	758
292	313	756
293	314	754
294	314	751
295	315	749
